DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<10k,10k-15k,15k-25k,25k-35k,35k-50k,50k-75k,75k-100k,100k-150k,150k-200k,200k<,% with Computer,% with Internet
Mill Valley School District,CA,3127.0,Online Only,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.08964646464646465,0.9103535353535354,0.0,0.94,0.07200000000000001,0.017,0.115,0.021,0.02,0.005,0.0,0.009000000000000001,0.042,0.022000000000000002,0.055999999999999994,0.047,0.11800000000000001,0.682,1.0,1.0
Millbrae Elementary School District,CA,2448.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Not required,Unknown,Yes,Never closed,Yes,0.10420841683366733,0.8957915831663327,0.0,0.39299999999999996,0.01,0.022000000000000002,0.623,0.081,0.026000000000000002,0.0,0.028999999999999998,0.026000000000000002,0.009000000000000001,0.077,0.077,0.226,0.157,0.374,0.9940000000000001,0.963
Millville Elementary School District,CA,263.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,0.029850746268656716,0.9701492537313433,0.0,1.0,0.0,0.0,0.0,0.0,0.042,0.0,0.263,0.0,0.158,0.263,0.042,0.158,0.0,0.105,1.0,0.895
Milpitas Unified School District,CA,13737.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,0.07653276955602538,0.6591966173361522,0.2642706131078224,0.177,0.071,0.013000000000000001,0.695,0.162,0.024,0.008,0.028999999999999998,0.040999999999999995,0.047,0.08800000000000001,0.111,0.214,0.172,0.267,0.997,0.9620000000000001
Southern Humboldt Joint Unified Sch Dist,CA,752.0,Online Only,No,Yes,Unknown,Yes,Unknown,Not required,Unknown,Unknown,Never closed,No,0.014492753623188406,0.5507246376811593,0.43478260869565216,0.946,0.0,0.0,0.02,0.054000000000000006,0.08199999999999999,0.040999999999999995,0.09300000000000001,0.175,0.07200000000000001,0.22699999999999998,0.20600000000000002,0.07200000000000001,0.021,0.021,1.0,0.845
Saddleback Valley Unified School Dist,CA,28773.0,Hybrid,Unknown,Unknown,Pending,Unknown,Pending,Pending,Pending,Pending,Pending,Unknown,0.07363344051446945,0.6008038585209003,0.32556270096463025,0.773,0.037000000000000005,0.018000000000000002,0.177,0.10400000000000001,0.021,0.011000000000000001,0.027999999999999997,0.034,0.066,0.10800000000000001,0.109,0.221,0.168,0.235,0.98,0.951
Empire Union School District,CA,2968.0,Hybrid,Unknown,Yes,No,No,Required for all staff,Unknown,Unknown,Unknown,Closed indefinitely,Yes,0.08272859216255442,0.9172714078374455,0.0,0.767,0.096,0.023,0.077,0.111,0.05,0.012,0.076,0.14300000000000002,0.23199999999999998,0.134,0.153,0.126,0.055,0.019,0.988,0.833
Hart-Ransom Union School District,CA,1231.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,0.02197802197802198,0.9780219780219781,0.0,0.892,0.0,0.0,0.075,0.054000000000000006,0.028999999999999998,0.043,0.028999999999999998,0.0,0.0,0.203,0.057999999999999996,0.507,0.07200000000000001,0.057999999999999996,0.9420000000000001,1.0
Modesto City Schools-Elementary,CA,15593.0,Hybrid,Unknown,Yes,Yes,Unknown,Required for all staff,Required for all students,Unknown,Yes,Unknown,Yes,0.10441767068273092,0.895582329317269,0.0,0.7659999999999999,0.048,0.019,0.061,0.17,0.068,0.044000000000000004,0.109,0.105,0.17300000000000001,0.20800000000000002,0.14300000000000002,0.11,0.026000000000000002,0.015,0.951,0.868
Modesto City Schools-High,CA,14745.0,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,0.0,0.0,1.0,0.785,0.04,0.017,0.086,0.132,0.033,0.036000000000000004,0.075,0.098,0.15,0.191,0.149,0.18,0.033,0.054000000000000006,0.972,0.929
Stanislaus Union School District,CA,3550.0,Hybrid,No,Pending,Pending,Pending,Required for all staff,Unknown,Yes,Unknown,Closed 6-14 days,Yes,0.11755952380952381,0.8824404761904762,0.0,0.68,0.102,0.013999999999999999,0.21100000000000002,0.129,0.033,0.035,0.048,0.127,0.14400000000000002,0.21899999999999997,0.14400000000000002,0.114,0.066,0.068,0.9890000000000001,0.9209999999999999
Sylvan Union School District,CA,8185.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,No,0.10432968179447054,0.8956703182055294,0.0,0.778,0.038,0.024,0.113,0.126,0.049,0.016,0.079,0.05,0.13699999999999998,0.128,0.157,0.223,0.086,0.076,0.977,0.935
Mojave Unified School District,CA,2939.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Closed indefinitely,No,0.08333333333333334,0.6453488372093024,0.2713178294573644,0.45,0.43700000000000006,0.081,0.028999999999999998,0.115,0.149,0.037000000000000005,0.217,0.059000000000000004,0.155,0.196,0.084,0.071,0.027999999999999997,0.0,0.96,0.823
Monrovia Unified School District,CA,9047.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Unknown,Yes,0.11422413793103449,0.6077586206896551,0.2780172413793104,0.706,0.066,0.026000000000000002,0.17300000000000001,0.149,0.02,0.012,0.039,0.037000000000000005,0.124,0.168,0.14300000000000002,0.226,0.111,0.11900000000000001,0.9279999999999999,0.8490000000000001
Big Springs Union Elementary Schl Dist,CA,185.0,Hybrid,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,0.06060606060606061,0.9393939393939393,0.0,0.882,0.147,0.11800000000000001,0.0,0.024,0.0,0.04,0.04,0.15,0.2,0.25,0.15,0.1,0.04,0.0,1.0,1.0
Montague Elementary School District,CA,172.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Unknown,Yes,0.044444444444444446,0.9555555555555555,0.0,0.915,0.0,0.043,0.0,0.064,0.023,0.023,0.0,0.2,0.14300000000000002,0.28600000000000003,0.171,0.14300000000000002,0.023,0.0,0.914,0.914
Montebello Unified School District,CA,29287.0,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,No,0.081437125748503,0.5960650128314798,0.32249786142001713,0.6579999999999999,0.006999999999999999,0.008,0.063,0.276,0.035,0.033,0.109,0.132,0.188,0.19899999999999998,0.121,0.11599999999999999,0.038,0.028999999999999998,0.935,0.82
Monterey Peninsula School District,CA,10427.0,Online Only,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,0.09086993970714902,0.6184323858742463,0.29069767441860467,0.701,0.11900000000000001,0.021,0.153,0.164,0.025,0.011000000000000001,0.047,0.071,0.127,0.242,0.147,0.17600000000000002,0.077,0.078,0.95,0.917
Moorpark Unified School District,CA,7094.0,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,No,0.08660785886126705,0.5613472333600642,0.3520449077786688,0.852,0.026000000000000002,0.025,0.10400000000000001,0.098,0.005,0.001,0.006999999999999999,0.016,0.077,0.156,0.16,0.214,0.134,0.22899999999999998,0.97,0.956
Moraga School District,CA,1898.0,Online Only,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed 1-5 days,Yes,0.11241217798594849,0.8875878220140516,0.0,0.797,0.006999999999999999,0.018000000000000002,0.27899999999999997,0.044,0.0,0.012,0.0,0.015,0.015,0.042,0.023,0.12,0.147,0.625,1.0,0.977
Moreno Valley Unified School District,CA,36830.0,Online Only,No,Yes,Yes,Yes,Required for all staff,Not required,No,Yes,Never closed,No,0.06653088934147998,0.6077393075356415,0.32572980312287847,0.349,0.187,0.008,0.055,0.455,0.043,0.03,0.086,0.08800000000000001,0.14300000000000002,0.21899999999999997,0.16,0.147,0.052000000000000005,0.031,0.9640000000000001,0.9009999999999999
Morgan Hill Unified School District,CA,9427.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Unknown,Never closed,No,0.08937875751503006,0.6060120240480962,0.3046092184368738,0.7829999999999999,0.023,0.028999999999999998,0.172,0.114,0.02,0.02,0.02,0.04,0.07400000000000001,0.11199999999999999,0.08800000000000001,0.18899999999999997,0.126,0.312,0.991,0.935
North Monterey County Unified Schl Dist,CA,4629.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Unknown,Unknown,0.05876951331496786,0.6740128558310376,0.26721763085399447,0.5589999999999999,0.015,0.023,0.023,0.424,0.031,0.053,0.042,0.078,0.13,0.177,0.14800000000000002,0.16399999999999998,0.10400000000000001,0.073,0.9309999999999999,0.9159999999999999
