DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
3603420,Attica Central School District,Public,Attica,NY,1420.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,39859,0
3627570,Southern Cayuga Central School District,Public,Aurora,NY,740.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,102180,0
3603630,Avoca Central School District,Public,Avoca,NY,450.0,Online Only,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,No,95379,45
3603720,Babylon Union Free School District,Public,Babylon,NY,1731.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3604050,Bath Central School District,Public,Bath,NY,1705.0,Hybrid,No,No,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,95379,45
3604080,Bay Shore Union Free School District,Public,Bay Shore,NY,5800.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3619950,Bedford Central School District,Public,Bedford,NY,4546.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3608160,Connetquot Central School District,Public,Bohemia,NY,6111.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3621840,Onteora Central School District,Public,Boiceville,NY,1337.0,Online Only,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,177573,4
3605010,Bolton Central School District,Public,Bolton Landing,NY,197.0,On Premises,Unknown,Unknown,Pending,Pending,Unknown,Required for high school students only,Unknown,Unknown,Unknown,Unknown,63944,2
3605220,Bradford Central School District,Public,Bradford,NY,270.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,95379,45
3605280,Brentwood Union Free School District,Public,Brentwood,NY,18365.0,Hybrid,No,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,1476601,26
3605370,Bridgehampton Union Free School District,Public,Bridgehampton,NY,205.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,1476601,26
3605640,Bronxville Union Free School District,Public,Bronxville,NY,1618.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,967506,38
3606210,Cambridge Central School District,Public,Cambridge,NY,1020.0,Hybrid,Unknown,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,61204,0
3600020,Campbell-Savona Central School District,Public,Campbell,NY,865.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,95379,45
3606360,Canaseraga Central School District,Public,Canaseraga,NY,257.0,On Premises,Yes,No,No,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,95379,45
3619200,Middle Country Central School District,Public,Centereach,NY,9980.0,Hybrid,No,No,Yes,No,Pending,Pending,Pending,Pending,Pending,Unknown,1476601,26
3606870,Central Islip Union Free School District,Public,Central Islip,NY,7650.0,Hybrid,Yes,Unknown,No,Yes,Unknown,Pending,Pending,Pending,Pending,Yes,1476601,26
3606990,Chappaqua Central School District,Public,Chappaqua,NY,4151.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3616960,North Warren Central School District,Public,Chestertown,NY,550.0,Hybrid,No,Yes,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,63944,2
3607860,Clyde-Savannah Central School District,Public,Clyde,NY,826.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,89918,7
3608310,Copiague Union Free School District,Public,Copiague,NY,5040.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3608790,Dansville Central School District,Public,Dansville,NY,1580.0,Hybrid,Unknown,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,95379,45
3608880,Deer Park Union Free School District,Public,Deer Park,NY,4132.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3609120,Dobbs Ferry Union Free School District,Public,Dobbs Ferry,NY,1502.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,967506,38
3609330,Dryden Central School District,Public,Dryden,NY,1640.0,Hybrid,No,Yes,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,48203,21
3609330,Dryden Central School District,Public,Dryden,NY,1640.0,Hybrid,No,Yes,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,102180,0
3609390,Dundee Central School District,Public,Dundee,NY,825.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,24913,0
3609660,East Hampton Union Free School District,Public,East Hampton,NY,1919.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3627900,Springs Union Free School District,Public,East Hampton,NY,740.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3609870,East Moriches Union Free School District,Public,East Moriches,NY,747.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3608130,Commack Union Free School District,Public,East Northport,NY,6602.0,Hybrid,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,1476601,26
3600008,South Country Central School District,Public,East Patchogue,NY,4670.0,Hybrid,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1476601,26
3609900,East Quogue Union Free School District,Public,East Quogue,NY,400.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3610080,Eastchester Union Free School District,Public,Eastchester,NY,3192.0,Hybrid,Unknown,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3629040,Tuckahoe Union Free School District,Public,Eastchester,NY,1113.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,967506,38
3610410,Eldred Central School District,Public,Eldred,NY,610.0,Online Only,No,Unknown,Yes,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,75432,0
3610500,Ellenville Central School District,Public,Ellenville,NY,1730.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,75432,0
3610500,Ellenville Central School District,Public,Ellenville,NY,1730.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,177573,4
3615360,Iroquois Central School District,Public,Elma,NY,2320.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,39859,0
3610560,Elmira City School District,Public,Elmira,NY,6285.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,95379,45
3610650,Elmsford Union Free School District,Public,Elmsford,NY,1085.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,967506,38
3610950,Fallsburg Central School District,Public,Fallsburg,NY,1463.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,75432,0
3610950,Fallsburg Central School District,Public,Fallsburg,NY,1463.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,177573,4
3610980,Farmingdale Union Free School District,Public,Farmingdale,NY,5652.0,Hybrid,No,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,1476601,26
3611070,Fillmore Central School District,Public,Fillmore,NY,703.0,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,39859,0
3611280,Fort Ann Central School District,Public,Fort Ann,NY,520.0,Hybrid,No,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,61204,0
3611310,Fort Edward Union Free School District,Public,Fort Edward,NY,550.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,61204,0
3612240,Glens Falls City School District,Public,Glens Falls,NY,2363.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,63944,2
3602310,Glens Falls Common School District,Public,Glens Falls,NY,170.0,On Premises,No,No,No,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,63944,2
3628890,Tri-Valley Central School District,Public,Grahamsville,NY,1300.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,75432,0
3628890,Tri-Valley Central School District,Public,Grahamsville,NY,1300.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,177573,4
3612450,Granville Central School District,Public,Granville,NY,1181.0,Hybrid,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,61204,0
3610680,Elwood Union Free School District,Public,Greenlawn,NY,2235.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1476601,26
3613620,Harborfields Central School District,Public,Greenlawn,NY,3126.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3612840,Greenport Union Free School District,Public,Greenport,NY,690.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1476601,26
3612900,Greenwich Central School District,Public,Greenwich,NY,1110.0,Hybrid,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Never closed,Yes,61204,0
3613020,Groton Central School District,Public,Groton,NY,1030.0,Hybrid,No,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,102180,0
3613470,Hammondsport Central School District,Public,Hammondsport,NY,458.0,On Premises,Yes,Unknown,Pending,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,95379,45
3613740,Harrison Central School District,Public,Harrison,NY,3452.0,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Pending,Pending,Pending,Yes,967506,38
3613830,Hartford Central School District,Public,Hartford,NY,460.0,Online Only,No,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,61204,0
3612720,Greenburgh Central School District,Public,Hartsdale,NY,1720.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3613980,Hauppauge Union Free School District,Public,Hauppauge,NY,3695.0,Hybrid,Unknown,No,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1476601,26
3614400,Highland Central School District,Public,Highland,NY,1820.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,177573,4
3614550,Holland Central School District,Public,Holland,NY,855.0,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Unknown,No,39859,0
3614640,Homer Central School District,Public,Homer,NY,2210.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,102180,0
3614760,Hoosick Falls Central School District,Public,Hoosick Falls,NY,1240.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,61204,0
3614820,Hornell City School District,Public,Hornell,NY,1821.0,Hybrid,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,95379,45
3614940,Hudson City School District,Public,Hudson,NY,1407.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,541013,56
3905002,Hudson City School District,Public,Hudson,OH,4846.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,541013,56
3614970,Hudson Falls Central School District,Public,Hudson Falls,NY,2436.0,Hybrid,Yes,Unknown,Yes,Unknown,Unknown,Required for all students,Yes,Yes,Never closed,Yes,63944,2
3614970,Hudson Falls Central School District,Public,Hudson Falls,NY,2436.0,Hybrid,Yes,Unknown,Yes,Unknown,Unknown,Required for all students,Yes,Yes,Never closed,Yes,61204,0
3615090,Huntington Union Free School District,Public,Huntington Station,NY,4455.0,Hybrid,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3615450,Irvington Union Free School District,Public,Irvington,NY,1867.0,Other,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,967506,38
3615570,Ithaca City School District,Public,Ithaca,NY,5265.0,Online Only,No,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Closed 6-14 days,Yes,48203,21
3615570,Ithaca City School District,Public,Ithaca,NY,5265.0,Online Only,No,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Closed 6-14 days,Yes,102180,0
3600023,Sullivan West Central School District,Public,Jeffersonville,NY,1080.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,75432,0
3616260,Kings Park Central School District,Public,Kings Park,NY,3565.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3616290,Kingston City School District,Public,Kingston,NY,6574.0,Online Only,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,177573,4
3616470,Lake George Central School District,Public,Lake George,NY,901.0,Online Only,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,63944,2
3616470,Lake George Central School District,Public,Lake George,NY,901.0,Online Only,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,61204,0
3613110,Hadley-Luzerne Central School District,Public,Lake Luzerne,NY,780.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,63944,2
3625350,Sachem Central School District,Public,Lake Ronkonkoma,NY,12840.0,Other,No,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1476601,26
3616710,Lansing Central School District,Public,Lansing,NY,1305.0,Hybrid,Unknown,No,Yes,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,102180,0
3617220,Liberty Central School District,Public,Liberty,NY,1790.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Pending,75432,0
3617380,Lindenhurst Union Free School District,Public,Lindenhurst,NY,6250.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,1476601,26
3617580,Livingston Manor Central School District,Public,Livingston Manor,NY,487.0,Hybrid,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,75432,0
3617580,Livingston Manor Central School District,Public,Livingston Manor,NY,487.0,Hybrid,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,177573,4
3618030,Lyons Central School District,Public,Lyons,NY,1125.0,On Premises,Unknown,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,89918,7
3618240,Mamaroneck Union Free School District,Public,Mamaroneck,NY,5266.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,967506,38
3625290,Rye Neck Union Free School District,Public,Mamaroneck,NY,1605.0,Hybrid,No,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,967506,38
3618450,Marathon Central School District,Public,Marathon,NY,906.0,Hybrid,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,48203,21
3618510,Margaretville Central School District,Public,Margaretville,NY,390.0,Hybrid,No,Unknown,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,177573,4
3618540,Marion Central School District,Public,Marion,NY,701.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,89918,7
3619230,Longwood Central School District,Public,Middle Island,NY,9136.0,Hybrid,Unknown,Unknown,No,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,1476601,26
3619410,Miller Place Union Free School District,Public,Miller Place,NY,3030.0,Hybrid,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3618570,Marlboro Central School District,Public,Milton,NY,1922.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,177573,4
3619710,Montauk Union Free School District,Public,Montauk,NY,301.0,On Premises,No,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,1476601,26
3619740,Monticello Central School District,Public,Monticello,NY,3316.0,Hybrid,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,75432,0
3614190,Hendrick Hudson Central School District,Public,Montrose,NY,2418.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,967506,38
3620040,Mount Sinai Union Free School District,Public,Mount Sinai,NY,2345.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3620460,New Paltz Central School District,Public,New Paltz,NY,2285.0,Online Only,Unknown,Unknown,Unknown,Unknown,Required for all staff,Unknown,Yes,Unknown,Never closed,Yes,177573,4
3620520,New Suffolk Common School District,Public,New Suffolk,NY,15.0,On Premises,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,1476601,26
3620640,Newark Central School District,Public,Newark,NY,2191.0,Other,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,89918,7
3620790,Newfield Central School District,Public,Newfield,NY,850.0,Hybrid,No,Unknown,No,No,Pending,Pending,Pending,Pending,Pending,Pending,102180,0
3620910,North Babylon Union Free School District,Public,North Babylon,NY,4655.0,Hybrid,No,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3615870,Johnsburg Central School District,Public,North Creek,NY,330.0,Hybrid,No,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,63944,2
3621180,North Salem Central School District,Public,North Salem,NY,1380.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3621540,Fire Island Union Free School District,Public,Ocean Beach,NY,31.0,On Premises,No,Unknown,Yes,Yes,Unknown,Not required,Unknown,Unknown,Never closed,No,1476601,26
3619530,Minerva Central School District,Public,Olmstedville,NY,105.0,On Premises,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,63944,2
3621930,Oysterponds Union Free School District,Public,Orient,NY,105.0,On Premises,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,1476601,26
3622020,Ossining Union Free School District,Public,Ossining,NY,4980.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3622500,Pavilion Central School District,Public,Pavilion,NY,920.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,39859,0
3622650,Peekskill City School District,Public,Peekskill,NY,3348.0,Hybrid,Unknown,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3622680,Pelham Union Free School District,Public,Pelham,NY,2908.0,Hybrid,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3623010,Pine Bush Central School District,Public,Pine Bush,NY,5670.0,Online Only,No,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,75432,0
3623010,Pine Bush Central School District,Public,Pine Bush,NY,5670.0,Online Only,No,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,177573,4
3623310,Pleasantville Union Free School District,Public,Pleasantville,NY,1810.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,967506,38
3623430,Port Byron Central School District,Public,Port Byron,NY,972.0,Hybrid,No,Unknown,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,89918,7
3623520,Port Jervis City School District,Public,Port Jervis,NY,2308.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,No,75432,0
3623970,Putnam Central School District,Public,Putnam Station,NY,32.0,Online Only,Unknown,No,Unknown,No,Required for all staff,Pending,Pending,Pending,Pending,Unknown,61204,0
3624000,Putnam Valley Central School District,Public,Putnam Valley,NY,1797.0,Hybrid,No,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,967506,38
3624030,Queensbury Union Free School District,Public,Queensbury,NY,3720.0,On Premises,Yes,Yes,Unknown,Pending,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,63944,2
3624060,Quogue Union Free School District,Public,Quogue,NY,106.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,1476601,26
3624210,Red Creek Central School District,Public,Red Creek,NY,1015.0,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,No,Never closed,Yes,89918,7
3631950,York Central School District,Public,Retsof,NY,790.0,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,39859,0
3624690,Riverhead Central School District,Public,Riverhead,NY,5370.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3622710,Penfield Central School District,Public,Rochester,NY,4863.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,89918,7
3624840,Rocky Point Union Free School District,Public,Rocky Point,NY,3350.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3624900,Rome City School District,Public,Rome,NY,5290.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,98498,37
3625020,Roscoe Central School District,Public,Roscoe,NY,300.0,Hybrid,Unknown,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,75432,0
3625260,Rye City School District,Public,Rye,NY,3429.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,967506,38
3625380,Sag Harbor Union Free School District,Public,Sag Harbor,NY,1027.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3625410,Sagaponack Common School District,Public,Sagaponack,NY,15.0,Hybrid,Unknown,No,No,No,Required for all staff,Required for all students,Yes,Yes,Pending,Unknown,1476601,26
3625470,Salem Central School District,Public,Salem,NY,595.0,On Premises,Unknown,Unknown,No,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Unknown,61204,0
3625800,Saugerties Central School District,Public,Saugerties,NY,2655.0,Online Only,No,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,177573,4
3625920,Sayville Union Free School District,Public,Sayville,NY,2935.0,Hybrid,No,Unknown,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3610200,Edgemont Union Free School District,Public,Scarsdale,NY,1964.0,Hybrid,Unknown,Unknown,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Unknown,967506,38
3625950,Scarsdale Union Free School District,Public,Scarsdale,NY,4810.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3614730,Hoosic Valley Central School District,Public,Schaghticoke,NY,1007.0,On Premises,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,61204,0
3626160,Schuylerville Central School District,Public,Schuylerville,NY,1623.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,61204,0
3616620,Lakeland Central School District,Public,Shrub Oak,NY,6151.0,Online Only,Yes,Pending,Pending,Pending,Unknown,Required for all students,Yes,Pending,Pending,No,967506,38
3619560,Minisink Valley Central School District,Public,Slate Hill,NY,3764.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,75432,0
3623340,Pocantico Hills Central School District,Public,Sleepy Hollow,NY,300.0,On Premises,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,967506,38
3627060,Smithtown Central School District,Public,Smithtown,NY,9443.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1476601,26
3627180,Somers Central School District,Public,Somers,NY,3165.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,967506,38
3627540,Southampton Union Free School District,Public,Southampton,NY,1667.0,Hybrid,No,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,1476601,26
3629070,Tuckahoe Common School District,Public,Southampton,NY,350.0,Hybrid,No,No,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1476601,26
3627620,Southold Union Free School District,Public,Southold,NY,893.0,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,No,Closed 1-5 days,Yes,1476601,26
3628110,Stillwater Central School District,Public,Stillwater,NY,1184.0,Hybrid,No,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,61204,0
3628200,Three Village Central School District,Public,Stony Brook,NY,6126.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3620160,Mount Pleasant Central School District,Public,Thornwood,NY,1970.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,967506,38
3628680,Ticonderoga Central School District,Public,Ticonderoga,NY,798.0,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Unknown,Unknown,Unknown,Never closed,Yes,63944,2
3628980,Trumansburg Central School District,Public,Trumansburg,NY,1081.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,102180,0
3629400,Valhalla Union Free School District,Public,Valhalla,NY,1463.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,967506,38
3629610,Vestal Central School District,Public,Vestal,NY,3371.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,48203,21
3629640,Victor Central School District,Public,Victor,NY,4257.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,89918,7
3629760,Wainscott Common School District,Public,Wainscott,NY,25.0,On Premises,Unknown,No,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,1476601,26
3629790,Wallkill Central School District,Public,Wallkill,NY,3090.0,Online Only,Unknown,No,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,177573,4
