DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
1907050,Chariton Community School District,Public,Chariton,IA,1341.0,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Not required,Yes,Yes,Never closed,Yes,8600,1
1907050,Chariton Community School District,Public,Chariton,IA,1341.0,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Not required,Yes,Yes,Never closed,Yes,33253,16
1907350,Clarinda Community School District,Public,Clarinda,IA,1049.0,On Premises,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,15107,3
1907350,Clarinda Community School District,Public,Clarinda,IA,1049.0,On Premises,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,6121,1
1907710,Clinton Community School District,Public,Clinton,IA,3611.0,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,163354,36
1907710,Clinton Community School District,Public,Clinton,IA,3611.0,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,103868,14
2610050,Clinton Community School District,Public,Clinton,MI,1237.0,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,163354,36
2610050,Clinton Community School District,Public,Clinton,MI,1237.0,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,103868,14
5502640,Clinton Community School District,Public,Clinton,WI,1136.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,163354,36
5502640,Clinton Community School District,Public,Clinton,WI,1136.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,103868,14
1920820,North Linn Community School District,Public,Coggon,IA,682.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,226706,56
1907920,Colo-Nesco Community School District,Public,Colo,IA,436.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,39369,7
1907920,Colo-Nesco Community School District,Public,Colo,IA,436.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,97117,3
1907980,Columbus Community School District,Public,Columbus Junction,IA,812.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,11035,2
1907980,Columbus Community School District,Public,Columbus Junction,IA,812.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,42664,10
1910340,River Valley Community School District,Public,Correctionville,IA,530.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,103107,53
1930560,Wayne Community School District,Public,Corydon,IA,595.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Unknown,Unknown,8600,1
1930560,Wayne Community School District,Public,Corydon,IA,595.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Unknown,Unknown,6441,4
1908220,Council Bluffs Community School District,Public,Council Bluffs,IA,9642.0,Hybrid,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,93206,24
1908310,Creston Community School District,Public,Creston,IA,1491.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,4894,1
1908310,Creston Community School District,Public,Creston,IA,1491.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,12241,3
1914370,Humboldt Community School District,Public,Dakota City,IA,1499.0,Hybrid,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,35904,18
1914370,Humboldt Community School District,Public,Dakota City,IA,1499.0,Hybrid,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12562,2
1908730,Decorah Community School District,Public,Decorah,IA,1766.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,19991,5
1925320,Saydel Community School District,Public,Des Moines,IA,1430.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,490161,84
1909060,Diagonal Community School District,Public,Diagonal,IA,115.0,On Premises,Unknown,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,4894,1
1909060,Diagonal Community School District,Public,Diagonal,IA,115.0,On Premises,Unknown,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,6121,1
1906930,Central Lee Community School District,Public,Donnellson,IA,1233.0,Hybrid,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,33657,9
1909570,Boyer Valley Community School District,Public,Dunlap,IA,416.0,On Premises,Yes,Yes,No,No,Not required,Not required,Yes,No,Never closed,Yes,8615,1
1909570,Boyer Valley Community School District,Public,Dunlap,IA,416.0,On Premises,Yes,Yes,No,No,Not required,Not required,Yes,No,Never closed,Yes,11454,2
1909600,Durant Community School District,Public,Durant,IA,763.0,On Premises,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,42664,10
1909600,Durant Community School District,Public,Durant,IA,763.0,On Premises,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,172943,43
1909990,Eagle Grove Community School District,Public,Eagle Grove,IA,960.0,On Premises,Yes,Unknown,No,Yes,Required for all staff,Unknown,Yes,Unknown,Closed 1-5 days,Yes,35904,18
1909990,Eagle Grove Community School District,Public,Eagle Grove,IA,960.0,On Premises,Yes,Unknown,No,Yes,Required for all staff,Unknown,Yes,Unknown,Closed 1-5 days,Yes,12562,2
