DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,# K-12,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<$10k,$10k-$15k,$15k-$25k,$25k-$35k,$35k-$50k,$50k-$75k,$75k-$100k,$100k-$150k,$150k-$200k,$200k<,% with Computer,% with Internet
Roanoke County Public Schools,VA,15388.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,14480,6.49171270718232,60.11740331491713,33.39088397790055,87.0,9.9,0.8,6.2,3.4,4.9,1.7,3.4,4.5,7.3,19.2,18.4,22.9,8.9,8.7,99.5,93.6
Franklin County Public Schools,VA,7336.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,7955,8.673790069138906,62.225015713387805,29.10119421747329,89.8,11.3,0.7,0.3,2.0,4.3,6.8,10.8,8.8,13.6,20.3,14.0,14.6,3.8,3.2,93.7,78.6
Campbell County Public Schools,VA,8903.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,8060,9.739454094292803,59.86352357320099,30.397022332506204,84.2,17.8,0.9,1.7,0.5,4.7,2.6,7.9,8.9,11.6,15.5,21.4,20.2,3.8,3.2,93.0,84.5
Salem City School District,VA,3908.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,3445,2.7576197387518144,61.68359941944848,35.55878084179971,88.0,15.2,0.0,1.7,0.5,3.0,4.4,5.6,9.3,11.3,21.5,13.5,19.7,5.6,6.0,99.2,84.3
Middlesex County Public Schools,VA,1261.0,Hybrid,Unknown,Yes,Yes,Yes,Not required,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,1350,14.444444444444445,57.407407407407405,28.14814814814815,80.7,17.2,0.9,0.0,10.0,2.1,8.4,4.2,7.0,9.8,17.5,16.8,23.8,5.6,4.2,97.2,84.6
Isle of Wight County School District,VA,5653.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,5750,9.304347826086957,61.391304347826086,29.304347826086957,76.8,25.3,0.9,2.8,1.8,4.4,2.4,10.3,5.3,7.0,10.9,14.3,30.3,6.9,8.6,98.6,83.5
Stafford County Public Schools,VA,29492.0,Online Only,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,No,28535,6.027685298755914,61.92395304012616,32.04836166111792,71.1,24.4,1.0,6.6,7.8999999999999995,1.2,0.5,3.3,3.8,6.7,14.1,12.7,25.4,15.3,17.0,98.8,96.0
Greene County School District,VA,3340.0,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,3530,8.78186968838527,66.14730878186968,25.070821529745043,92.2,9.3,0.7,2.7,2.2,0.2,2.7,5.6,6.2,9.8,18.0,16.2,29.8,10.0,1.6,100.0,94.0
Staunton City Schools,VA,2661.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2990,8.193979933110368,64.38127090301003,27.4247491638796,83.1,21.5,1.3,3.4,0.8,2.1,2.8,6.0,10.7,22.1,20.1,17.3,15.4,1.7,1.7,100.0,86.9
Sussex County School District,VA,1141.0,Online Only,Unknown,Unknown,Unknown,Unknown,Unknown,Required for high school students only,Unknown,Unknown,Unknown,Yes,1260,3.5714285714285716,67.46031746031746,28.96825396825397,41.7,60.0,0.3,0.0,0.7,10.5,4.4,7.7,13.3,9.4,25.4,11.0,13.8,3.9,0.4,97.2,82.3
Patrick County School District,VA,2352.0,Hybrid,No,No,Yes,No,Not required,Required for all students,Yes,Yes,Closed 1-5 days,Yes,2130,6.572769953051643,59.15492957746479,34.27230046948357,92.3,7.7,0.1,0.4,0.4,9.3,5.1,16.6,4.5,9.0,24.5,18.9,10.1,0.0,2.0,85.4,76.9
Suffolk Public School District,VA,14991.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,15565,5.428846771602955,63.63636363636363,30.934789592033408,49.8,50.0,1.2,4.6,2.4,4.9,2.2,6.4,7.8,8.6,16.9,16.2,23.7,7.2,6.1,98.2,86.8
Surry County School District,VA,833.0,Online Only,No,Unknown,Yes,No,Required for all staff,Not required,No,Yes,Never closed,Unknown,925,5.945945945945946,63.78378378378378,30.27027027027027,49.8,51.1,1.4,0.0,1.4,2.1,7.9,9.3,2.1,13.6,27.9,7.1,22.9,4.3,2.9,97.9,81.4
Essex County Public School District,VA,1334.0,Online Only,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,1570,5.095541401273885,65.92356687898089,28.980891719745223,43.8,47.7,0.0,0.8,8.5,1.5,3.0,11.0,16.0,7.5,20.0,20.0,16.0,5.5,0.0,95.0,70.5
Tazewell County School District,VA,6233.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed 6-14 days,Yes,5945,9.75609756097561,60.218671152228765,30.025231286795627,96.3,3.6,0.0,0.6,1.1,6.1,3.5,8.2,10.8,16.3,21.7,14.7,13.2,3.9,1.7,92.5,87.3
Augusta County Public Schools,VA,11438.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,11060,7.233273056057866,60.57866184448463,32.1880650994575,95.6,5.2,0.4,1.5,0.7999999999999999,4.3,2.9,6.3,6.1,10.0,22.2,19.8,19.3,5.0,4.1,94.3,82.8
Virginia Beach City Public Schools,VA,78644.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Unknown,Yes,70785,7.678180405453133,63.22667231758141,29.09514727696546,70.4,28.0,1.7,10.1,3.1,3.1,2.0,4.5,5.1,10.0,18.1,17.5,23.4,9.0,7.4,99.2,93.3
Fauquier County Public Schools,VA,11480.0,Online Only,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,12235,6.211687780956273,58.643236616264815,35.14507560277891,91.5,10.4,1.0,2.6,1.5,1.4,0.6,3.6,5.2,4.6,13.3,11.7,24.4,19.5,15.8,99.4,95.1
Richmond County School District,VA,1275.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1205,12.448132780082988,73.44398340248962,14.107883817427386,82.2,28.9,0.0,0.3,4.1,9.4,0.0,7.2,5.0,7.9,25.9,12.9,20.1,8.6,2.9,100.0,88.5
Rappahannock County Public Schools,VA,811.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1015,6.896551724137931,56.65024630541872,36.45320197044335,94.2,3.9,0.0,3.9,7.3,0.0,0.0,3.5,7.1,2.7,25.7,8.8,31.0,10.6,11.5,100.0,92.9
Waynesboro Public Schools,VA,3128.0,Online Only,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,3630,12.258953168044076,63.08539944903581,24.65564738292011,80.6,23.7,0.7,0.9,1.2,7.9,5.9,6.3,12.8,15.1,21.0,13.8,13.4,2.0,2.0,95.3,79.8
Lancaster County Public Schools,VA,1201.0,Hybrid,Yes,Unknown,Yes,Yes,Unknown,Required for high school students only,Unknown,Unknown,Unknown,Yes,1220,11.475409836065573,56.14754098360656,32.377049180327866,51.4,49.7,0.0,2.0,0.0,1.9,1.3,9.6,7.7,21.2,19.2,15.4,15.4,5.1,3.2,95.5,88.5
West Point Public Schools,VA,784.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,510,3.9215686274509802,59.80392156862745,36.27450980392157,86.7,12.5,0.0,0.7,0.0,0.0,4.1,1.1,10.8,10.8,20.3,12.2,20.3,14.9,6.8,100.0,86.5
Williamsburg-James City County Pub Schls,VA,12325.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,1080,6.018518518518518,63.425925925925924,30.555555555555557,67.1,30.2,2.7,3.5,0.0,9.3,0.0,11.1,8.6,7.4,6.2,14.8,21.0,9.9,11.7,94.4,83.3
Frederick County Public Schools,VA,14143.0,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Unknown,14520,8.849862258953168,61.43250688705234,29.71763085399449,92.1,8.3,0.5,2.8,1.8,1.3,2.2,3.1,5.6,9.4,16.6,16.4,26.5,12.0,7.0,98.1,88.2
Winchester Public School District,VA,4214.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,4665,4.394426580921758,65.48767416934619,30.117899249732048,83.2,17.5,1.2,4.4,5.2,2.4,0.0,5.5,13.0,18.2,15.0,16.6,12.4,5.7,11.3,89.4,82.8
Wise County Public Schools,VA,6230.0,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Not required,No,No,Never closed,Yes,5780,8.737024221453288,61.418685121107266,29.844290657439448,97.0,3.6,0.5,0.8,0.8,10.8,9.3,7.4,12.5,11.3,20.2,11.6,11.4,2.8,2.9,95.1,79.4
Shenandoah County School District,VA,6552.0,Hybrid,Unknown,Unknown,Pending,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,6610,7.942511346444781,62.405446293494705,29.652042360060513,95.8,5.4,0.5,2.6,2.5,2.9,0.7,5.8,7.5,16.8,20.7,16.6,18.2,7.5,3.3,98.4,88.1
Wythe County Public Schools,VA,4414.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,4405,4.767309875141884,61.634506242905786,33.59818388195233,96.5,6.4,0.3,1.0,0.7,3.8,3.1,7.4,8.2,15.3,25.3,19.8,12.9,2.9,1.5,91.8,79.4
York County School Division,VA,13326.0,Hybrid,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Yes,12535,7.897885919425608,60.27124052652573,31.830873554048665,80.6,15.9,0.9,8.6,3.5999999999999996,2.1,2.0,1.8,5.0,8.7,17.4,15.3,26.8,13.1,7.7,99.0,95.2
Battenkill Valley Supervisory Union 60,VT,430.0,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,390,5.128205128205129,57.69230769230769,37.17948717948718,98.0,0.0,0.0,7.1,0.0,1.1,1.1,7.1,2.9,30.0,28.6,5.7,20.0,0.0,2.9,100.0,95.7
Orleans Central Supervisory Union 34,VT,1113.0,Online Only,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,1075,8.372093023255815,66.04651162790698,25.58139534883721,98.1,3.0,0.3,0.8,0.0,1.9,0.5,16.9,18.8,9.7,25.3,9.7,12.3,3.2,1.3,94.2,81.8
Windham Northeast Supervisory Union 47,VT,1130.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1385,6.859205776173285,66.4259927797834,26.71480144404332,93.7,6.0,1.7,0.2,0.8,9.0,2.3,8.5,6.8,14.7,16.9,23.7,16.9,0.5,0.5,91.0,76.3
Southwest Vermont Supervisory Union,VT,3722.0,Hybrid,Yes,Unknown,Unknown,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,3130,5.7507987220447285,64.21725239616613,30.031948881789138,97.2,1.3,4.2,1.7,1.2000000000000002,2.1,5.5,5.3,14.7,7.6,21.0,17.1,12.7,8.1,6.0,98.4,84.6
Orange East Supervisory Union 27,VT,1768.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,1460,9.246575342465754,65.06849315068493,25.684931506849313,99.4,1.5,0.0,0.9,0.0,2.2,2.2,7.5,10.6,11.5,24.8,12.4,15.9,6.6,5.3,95.1,88.5
Rutland Northeast Supervisory Union 36,VT,1503.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1570,4.777070063694268,59.87261146496815,35.35031847133758,99.2,0.2,0.5,1.6,0.0,0.0,0.5,4.7,5.9,9.4,20.0,24.1,22.9,8.8,4.1,98.2,92.4
Windham Southeast School District,VT,2760.0,Hybrid,Unknown,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2730,4.395604395604396,64.28571428571429,31.318681318681318,97.5,3.1,1.9,4.7,1.0,8.7,1.9,12.3,6.3,14.5,15.7,17.3,14.7,3.1,5.5,99.0,78.6
Burlington School District,VT,3917.0,Hybrid,Unknown,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,3850,7.662337662337662,61.298701298701296,31.038961038961038,73.7,21.1,1.4,9.4,1.1,7.7,3.5,13.2,6.5,9.6,14.5,13.8,18.1,5.3,7.9,97.4,91.9
Essex North Supervisory Union 19,VT,192.0,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,270,9.25925925925926,59.25925925925926,31.48148148148148,85.0,11.7,1.3,3.3,0.0,2.6,2.6,6.5,19.4,12.9,25.8,9.7,9.7,9.7,2.6,100.0,96.8
Colchester School District,VT,2315.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2205,11.11111111111111,52.83446712018141,36.054421768707485,95.8,3.6,0.0,3.4,1.4,5.2,3.6,1.9,3.9,5.8,14.9,14.2,27.2,13.3,10.0,99.0,96.4
Caledonia Central Supervisory Union 9,VT,1442.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,700,6.428571428571429,65.71428571428571,27.857142857142858,93.8,5.0,1.2,1.9,0.0,4.5,0.0,2.3,6.8,13.6,18.2,19.3,23.9,5.7,5.7,100.0,95.5
Franklin West Supervisory Union 22,VT,1698.0,Hybrid,Unknown,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,1825,8.493150684931507,58.63013698630137,32.87671232876713,95.9,0.0,0.7,1.3,3.0,0.8,0.0,1.1,1.1,7.6,15.5,25.0,38.6,8.7,1.1,99.6,94.7
Grand Isle Supervisory Union 24,VT,621.0,Online Only,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,890,5.056179775280899,57.86516853932584,37.07865168539326,96.8,4.1,0.4,1.8,0.4,1.5,3.1,3.1,3.1,13.1,15.4,20.8,22.3,7.7,8.5,96.9,94.6
Orleans Southwest Supervisory Union 35,VT,1029.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1410,8.865248226950355,57.09219858156028,34.04255319148936,99.4,2.4,0.0,0.9,0.8,1.9,2.5,5.6,4.9,12.3,21.6,14.8,24.7,5.6,4.9,95.1,90.7
Lamoille North Supervisory Union 25,VT,2092.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,1955,5.115089514066496,64.70588235294117,30.17902813299233,98.7,1.3,1.1,1.3,0.4,4.4,4.8,8.0,6.0,11.2,16.9,20.9,19.3,5.2,3.6,99.2,88.0
Two Rivers Supervisory Union,VT,1051.0,Hybrid,Yes,Unknown,Yes,Pending,Required for all staff,Pending,Pending,Pending,Pending,Yes,1070,10.74766355140187,56.54205607476636,32.71028037383178,100.0,0.7,1.1,0.0,2.1999999999999997,2.7,1.3,4.7,8.0,12.0,24.7,18.7,16.7,7.3,3.3,97.3,89.3
Addison Central School District,VT,1727.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,1605,5.607476635514018,67.28971962616822,27.102803738317757,87.8,8.0,1.1,6.4,2.8,0.3,2.1,4.7,5.1,13.6,16.9,18.6,25.4,8.1,5.5,95.3,87.3
Milton Town School District,VT,1624.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,1405,20.640569395017792,55.51601423487544,23.843416370106763,96.8,4.0,5.2,2.9,0.0,0.0,0.0,6.2,3.6,14.2,16.9,20.4,24.0,9.8,4.9,100.0,88.9
Washington Central Unif Union Schl Dist,VT,1648.0,Hybrid,Yes,Pending,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1450,4.482758620689655,60.3448275862069,35.172413793103445,96.5,1.5,4.1,2.4,0.2,2.9,1.0,5.3,4.3,12.4,21.1,18.2,21.5,8.6,4.8,96.7,88.0
Lamoille South Supervisory Union 26,VT,1663.0,Unknown,Unknown,Unknown,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,1465,6.484641638225256,61.43344709897611,32.081911262798634,95.8,4.2,1.5,3.3,0.2,14.1,6.3,1.5,3.4,16.5,21.8,4.9,20.4,1.5,9.7,100.0,91.7
North Country Supervisory Union,VT,2886.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2490,6.626506024096385,61.64658634538153,31.72690763052209,98.9,1.1,1.0,1.3,1.0,2.3,2.0,5.1,11.2,11.5,25.0,18.4,17.1,3.3,4.3,95.7,88.8
Franklin Northeast Supervisory Union 20,VT,2023.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1445,3.8062283737024223,63.667820069204154,32.52595155709343,100.0,1.5,0.9,0.9,0.0,0.4,3.6,2.6,7.2,12.9,32.5,14.9,20.6,1.5,2.1,97.9,91.8
Rutland City School District,VT,2707.0,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,1875,3.2,62.4,34.4,91.7,3.5,0.0,5.5,0.0,9.3,4.0,2.2,10.7,6.7,22.2,8.0,28.4,6.7,0.9,96.0,84.0
Saint Johnsbury School District 11,VT,385.0,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,1120,6.696428571428571,67.41071428571429,25.892857142857142,98.4,0.0,0.8,2.0,1.6,7.4,5.4,6.7,18.8,16.8,15.4,14.1,13.4,2.0,0.0,98.7,89.3
South Burlington School District,VT,2340.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2205,7.709750566893424,55.10204081632653,37.188208616780045,87.9,6.0,0.4,11.1,0.0,4.2,1.8,3.0,5.4,14.9,12.8,8.4,19.1,13.1,17.9,100.0,96.1
White River Valley Supervisory Union,VT,1385.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,1035,11.11111111111111,63.28502415458937,25.603864734299517,93.3,4.7,1.6,0.3,3.5,3.9,5.2,0.5,5.9,11.1,24.8,21.6,19.0,3.9,3.9,99.3,88.9
Springfield School District,VT,1262.0,Online Only,Yes,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1280,3.90625,63.28125,32.8125,99.0,3.9,1.6,1.0,0.0,2.3,12.0,6.9,10.9,10.3,17.7,17.1,15.4,6.3,1.7,95.4,81.1
Bennington Rutland Supervisory Union,VT,1175.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,2130,7.981220657276995,61.267605633802816,30.751173708920188,96.1,0.4,2.2,1.8,0.2,2.6,0.3,6.6,4.0,15.8,20.5,17.2,13.6,7.7,11.7,96.0,91.9
Windham Central Supervisory Union 46,VT,871.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,995,6.030150753768845,56.78391959798995,37.185929648241206,100.0,0.0,2.1,1.3,0.3,4.0,1.3,7.4,8.1,12.1,22.8,19.5,15.4,5.4,4.0,100.0,83.9
Addison Northwest School District,VT,907.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,975,5.128205128205129,60.0,34.87179487179487,100.0,0.9,0.4,0.0,0.4,0.6,1.4,1.4,10.8,3.6,15.1,20.1,31.7,9.4,5.0,99.3,97.8
Harwood Unified Union School District,VT,2071.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1975,10.632911392405063,59.49367088607595,29.873417721518987,95.6,0.4,1.5,3.6,0.4,4.4,3.7,1.3,6.4,8.1,18.5,16.8,17.1,8.1,15.1,93.6,90.6
Hartford School District,VT,1951.0,Hybrid,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1170,9.82905982905983,61.111111111111114,29.05982905982906,97.8,5.6,2.2,5.2,0.0,0.0,1.0,4.5,4.5,14.4,17.4,15.9,28.9,6.5,7.0,100.0,97.5
Windham Southwest Supervisory Union 49,VT,731.0,Hybrid,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,720,5.555555555555555,63.888888888888886,30.555555555555557,98.8,2.3,5.8,1.2,0.0,7.7,0.8,2.9,8.7,12.5,27.9,8.7,17.3,8.7,4.8,95.2,85.6
Windsor Southeast Supv Union 52,VT,1153.0,Other,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,1510,9.602649006622517,60.264900662251655,30.132450331125828,99.5,0.8,2.2,1.6,0.0,4.6,6.0,0.4,6.4,5.5,31.7,12.8,20.2,7.3,4.6,100.0,92.7
Winooski School District,VT,813.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,790,11.39240506329114,51.265822784810126,37.34177215189873,57.1,12.1,1.1,25.3,5.5,21.8,5.9,19.8,13.9,10.9,7.9,10.9,6.9,0.8,2.0,96.0,80.2
Windsor Central Supervisory Union 51,VT,975.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1040,6.25,54.32692307692308,39.42307692307692,97.9,1.3,0.0,1.3,1.7,1.3,0.5,9.3,5.3,8.0,16.0,10.7,24.0,8.0,16.0,100.0,92.7
Aberdeen School District 5,WA,3580.0,Hybrid,Unknown,Yes,Yes,Unknown,Required for all staff,Unknown,Yes,Unknown,Closed 6-14 days,Yes,3265,4.747320061255743,61.71516079632465,33.537519142419605,91.4,7.1,7.0,3.0,6.4,5.8,3.6,7.5,10.3,14.9,28.6,11.8,10.6,4.8,2.2,96.2,87.0
Wishkah Valley School District 117,WA,150.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,195,7.6923076923076925,74.35897435897436,17.94871794871795,97.4,2.1,2.1,0.0,0.0,0.0,0.0,14.3,0.0,3.8,23.8,23.8,19.0,9.5,0.0,100.0,100.0
Anacortes School District 103,WA,2825.0,Online Only,Unknown,Unknown,Yes,Unknown,Required for all staff,Unknown,Unknown,Unknown,Never closed,Unknown,2520,7.341269841269841,61.111111111111114,31.547619047619047,94.1,2.4,2.1,6.2,3.0999999999999996,3.7,1.6,7.4,5.0,11.1,13.2,14.8,22.8,12.4,7.7,97.6,93.9
Arlington Public School District 16,WA,5948.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,5280,5.965909090909091,66.19318181818181,27.84090909090909,93.3,3.9,5.1,4.1,5.6,1.3,0.7,1.5,0.4,9.6,13.1,18.6,36.2,10.6,8.0,98.7,93.5
Asotin-Anatone School District 420,WA,698.0,On Premises,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,330,0.0,48.484848484848484,51.515151515151516,97.6,3.7,0.0,8.5,0.0,0.0,6.3,4.2,6.3,6.3,31.3,12.5,20.8,1.7,10.4,100.0,68.8
Auburn School District 408,WA,17033.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,15795,8.990186767964545,63.31117442228553,27.69863880974992,69.6,11.2,6.7,15.6,15.4,4.1,1.9,4.3,7.8,11.9,19.8,14.8,20.9,7.7,6.8,97.7,94.8
Bainbridge Island School District 303,WA,3978.0,Online Only,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,4480,5.022321428571429,67.96875,27.008928571428573,91.9,5.3,0.6,8.6,3.9000000000000004,1.6,1.7,0.1,1.9,2.6,9.8,7.7,23.7,15.9,35.0,100.0,99.7
North Mason School District 403,WA,2276.0,Hybrid,No,Yes,Pending,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2035,11.302211302211303,65.6019656019656,23.095823095823096,81.7,4.2,0.0,0.0,20.7,5.1,0.0,12.9,13.2,12.9,14.7,17.3,9.9,10.7,2.9,91.9,86.4
Bellevue School District 405,WA,20527.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Required for high school students only,Unknown,Pending,Never closed,Unknown,21140,8.325449385052034,60.47776726584674,31.19678334910123,59.9,5.2,1.3,41.6,4.4,2.0,1.4,2.3,2.5,5.4,6.4,8.7,19.8,14.7,36.9,99.6,98.0
Bellingham Public Schools,WA,11628.0,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Not required,Unknown,Unknown,Unknown,Yes,12675,8.875739644970414,63.55029585798817,27.57396449704142,86.7,2.6,3.6,9.5,8.3,3.7,2.4,4.6,7.5,11.2,13.8,14.6,20.3,12.6,9.4,97.5,94.9
Meridian School District 505,WA,1828.0,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1515,8.58085808580858,51.15511551155115,40.26402640264026,89.3,5.7,0.0,3.9,11.5,2.6,0.0,9.1,14.2,15.9,14.2,8.6,17.7,14.2,3.4,85.3,84.1
Kiona-Benton City School District 52,WA,1446.0,Online Only,No,Yes,Yes,Pending,Required for all staff,Unknown,Unknown,No,Closed 6-14 days,Yes,1345,8.921933085501859,60.96654275092937,30.111524163568774,85.7,2.5,5.6,0.6,13.4,4.9,0.0,4.9,8.7,11.5,30.1,12.6,19.1,6.6,2.7,96.2,78.1
Blaine School District 503,WA,2144.0,Online Only,No,Yes,Unknown,Yes,Required for all staff,Unknown,Unknown,Unknown,Closed indefinitely,No,2350,4.8936170212765955,61.276595744680854,33.829787234042556,94.8,2.7,1.9,6.6,7.6000000000000005,9.1,2.5,2.2,4.0,9.1,23.2,26.8,14.1,7.6,2.2,100.0,95.7
Northshore School District 417,WA,23491.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Unknown,Unknown,Unknown,Closed indefinitely,Unknown,23560,8.488964346349745,60.908319185059426,30.60271646859083,79.1,4.7,2.0,21.9,3.4000000000000004,2.0,0.8,1.3,1.9,4.4,9.4,10.0,25.0,18.9,26.3,99.5,98.0
Bremerton School District 100-C,WA,6806.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,4700,8.72340425531915,61.276595744680854,30.0,81.6,11.4,5.6,8.0,10.9,3.7,4.0,10.3,9.1,12.9,22.0,17.1,12.9,6.4,1.6,98.4,95.5
Brewster School District 111,WA,1020.0,Hybrid,No,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1145,7.423580786026201,64.62882096069869,27.94759825327511,44.9,1.9,0.0,0.0,61.4,3.8,3.1,10.7,11.5,19.8,34.4,9.2,9.2,0.0,0.0,86.3,68.7
