DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,# K-12,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<$10k,$10k-$15k,$15k-$25k,$25k-$35k,$35k-$50k,$50k-$75k,$75k-$100k,$100k-$150k,$150k-$200k,$200k<,% with Computer,% with Internet
Muskegon Public Schools,MI,3765.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,6105,8.517608517608517,65.52006552006551,25.962325962325963,61.5,47.5,2.4,1.1,3.6,13.0,7.5,20.1,14.3,14.9,15.5,6.7,7.0,0.5,0.5,93.1,80.7
Oakridge Public School District,MI,1991.0,Other,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2010,7.462686567164179,61.691542288557216,30.845771144278608,91.4,12.2,1.3,0.8,0.4,1.7,0.9,8.6,14.2,19.7,21.5,15.0,13.7,2.1,2.1,92.3,82.8
Orchard View School District,MI,2177.0,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2100,11.19047619047619,53.095238095238095,35.714285714285715,91.8,23.4,1.1,0.0,0.0,5.6,11.8,3.5,10.1,10.8,18.8,26.1,11.8,0.3,0.7,98.3,88.9
Reeths-Puffer Schools,MI,3887.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,3610,8.033240997229917,63.29639889196676,28.670360110803323,94.6,5.5,1.8,1.5,0.5,3.2,1.1,3.6,4.5,12.6,13.5,19.5,30.2,8.8,3.4,97.9,93.4
Capac Community School District,MI,1003.0,Hybrid,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,1625,4.615384615384615,56.92307692307692,38.46153846153846,95.8,0.8,1.8,0.2,4.2,2.2,0.9,4.5,6.3,10.3,21.9,16.1,24.1,8.5,5.4,99.1,88.8
Napoleon Community Schools,MI,1502.0,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,1465,9.556313993174061,53.58361774744027,36.86006825938566,92.9,6.1,0.7,0.0,2.7,0.0,12.1,5.5,3.3,9.9,15.4,7.7,25.8,7.1,13.2,100.0,98.9
Negaunee Public School District,MI,1510.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1465,9.556313993174061,67.23549488054607,23.208191126279864,98.3,2.8,2.8,2.0,0.2,1.6,1.0,7.3,4.7,14.1,20.9,14.7,24.6,6.8,3.7,99.0,89.0
Huron School District,MI,2604.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2315,13.390928725701944,58.74730021598272,27.861771058315334,99.0,3.3,0.4,1.2,1.6,4.9,0.0,2.1,7.0,10.2,8.8,13.7,24.9,16.5,12.3,99.3,94.7
New Buffalo Area Schools,MI,640.0,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,600,7.5,57.5,35.0,82.5,0.0,0.0,9.5,8.5,4.6,9.2,0.0,15.4,10.8,16.9,10.8,15.4,4.6,10.8,98.5,90.8
New Haven Community School District,MI,1276.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,3800,12.368421052631579,62.76315789473684,24.86842105263158,90.2,4.5,1.8,4.8,0.6,0.5,1.7,8.2,5.3,4.1,21.2,13.5,25.8,15.4,4.3,99.3,97.3
New Lothrop Area Public School District,MI,911.0,Hybrid,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,610,8.19672131147541,60.65573770491803,31.147540983606557,95.1,7.0,0.6,0.6,2.0,4.1,1.1,2.7,1.1,6.8,9.6,24.7,37.0,13.7,0.0,97.3,90.4
Newaygo Public School District,MI,1581.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1695,11.504424778761061,62.24188790560472,26.253687315634217,92.7,2.5,0.6,0.8,6.2,6.7,8.6,7.6,6.7,16.7,14.3,16.2,14.8,2.4,6.2,96.2,80.5
Tahquamenon Area School District,MI,838.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,905,4.972375690607735,59.668508287292816,35.35911602209945,90.9,1.8,16.9,0.9,0.9,2.9,0.8,7.6,21.0,13.3,25.7,11.4,15.2,0.8,0.8,95.2,84.8
Jefferson School District,MI,2190.0,Unknown,Unknown,Unknown,Pending,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2265,9.271523178807946,55.629139072847686,35.09933774834437,95.4,4.8,2.0,1.4,2.6,2.6,1.0,5.3,6.6,9.5,16.1,21.1,23.4,11.8,2.6,100.0,98.0
Brandywine Community Schools,MI,1486.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,1345,10.780669144981413,65.79925650557621,23.42007434944238,94.9,10.5,2.2,0.7,0.0,9.2,2.0,2.6,5.2,12.4,27.5,17.0,18.3,2.0,4.6,100.0,93.5
Niles Community School District,MI,4372.0,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for middle/high school students only,Unknown,Yes,Never closed,Yes,4110,5.7177615571776155,69.7080291970803,24.574209245742093,90.6,17.2,0.4,2.1,2.6,9.7,2.4,10.7,15.1,10.9,21.3,20.2,6.4,2.2,1.1,98.0,90.3
North Adams-Jerome School District,MI,270.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,510,6.862745098039215,53.92156862745098,39.21568627450981,95.2,0.0,4.8,1.9,0.8,4.5,6.1,25.8,7.6,13.6,18.2,10.6,13.6,0.0,1.2,95.5,80.3
North Branch Area School District,MI,2670.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Unknown,No,Never closed,Yes,1760,3.6931818181818183,68.4659090909091,27.84090909090909,99.4,1.1,0.0,0.0,0.0,3.5,0.4,6.1,7.1,14.6,20.2,15.7,22.7,6.1,3.5,96.5,82.8
North Muskegon Public School District,MI,1042.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,655,5.343511450381679,67.17557251908397,27.480916030534353,99.2,4.6,6.1,0.6,0.0,0.0,0.0,0.0,0.0,8.6,31.4,14.3,24.3,10.0,11.4,98.6,98.6
Northport Public School,MI,147.0,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,230,10.869565217391305,71.73913043478261,17.391304347826086,89.6,1.7,22.9,0.0,0.0,0.0,0.0,6.5,12.9,16.1,22.6,6.5,22.6,2.6,9.7,93.5,67.7
Northville Public School District,MI,7529.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,7660,7.83289817232376,60.052219321148826,32.114882506527415,79.0,1.0,1.5,22.6,3.2,0.5,0.3,1.2,1.0,2.4,5.3,5.9,20.7,15.4,47.2,99.6,98.5
Mona Shores Public School District,MI,3903.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,3860,8.160621761658032,56.60621761658031,35.233160621761655,91.0,6.8,2.3,3.5,0.8,2.1,0.9,4.1,5.2,12.3,24.6,11.6,21.2,13.0,5.2,97.7,90.9
